Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI533822,SC,2013,1,69,83,475,21.7,11.3,5.64,16.7,4141,2.56,38.21,49.3,1650,15.23,11.03,7.33,10.86,0.366,5.1,13.53,69.4,20.46
PI533824,SC,2013,1,71,109,1749,14.2,26.1,7.16,17.2,4145,2.9,40.62,47.5,1634,13.84,10.7,11.29,9.27,0.357,4.69,11.45,66.8,17.92
PI533830,SC,2013,1,62,104,1380,12.7,18.9,8.57,19.3,4158,1.84,47.17,48.1,1732,15.48,11.14,10.06,12.04,0.39,5.77,14.89,65.2,21.4
PI533831,SC,2013,1,71,96,1995,19.5,40.5,4.97,18.3,4087,2.41,30.08,49.6,1515,13.83,10.98,7.98,9.38,0.339,4.44,11.57,70.2,17.29
PI533833,SC,2013,1,68,74,2168,18.8,40.9,6.38,15.7,4048,1.83,38.07,42,1303,11.79,10.44,14.55,7.87,0.327,4.62,10.11,66.8,13.07
PI533838,SC,2013,1,64,119,269,14.4,5.6,6.52,14.9,4077,2.19,33.72,45.9,1418,13.73,11.1,8.62,8.85,0.336,4.74,11.32,69.4,17.53
PI533839,SC,2013,1,55,133,235,13.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533841,SC,2013,1,57,99,854,25.2,21.6,5.15,17.3,4115,2.17,38.41,46.6,1628,14.74,11.05,8.67,10.86,0.37,5.41,13.75,69,19
PI533842,SC,2013,1,77,95,1839,16,30,5.32,15.7,4100,2.36,43.25,48.6,1404,14.12,10.4,11.06,9.94,0.332,4.66,12.48,69.3,18.65
PI533843,SC,2013,1,67,193,1129,18.9,20.5,5.09,17.7,4152,3.47,48.65,51.4,1724,15.41,10.68,7.41,10.42,0.38,4.87,12.7,67.7,23.07
PI533845,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533852,SC,2013,1,71,93,25,11.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533855,SC,2013,1,68,148,1145,16.5,19.9,5.2,17.4,4137,3.06,56.6,51.6,1646,15.85,10.87,7.03,11.16,0.371,5.36,13.46,67.7,23.48
PI533856,SC,2013,1,75,93,2051,16.9,33.9,5.68,17.9,4071,2.09,44.59,48.8,1356,13.98,10.33,11.44,9.49,0.322,4.32,11.78,68.7,18.48
PI533863,SC,2013,1,61,125,439,24,11.5,7.65,19,4129,2.23,49.67,53.7,1802,15.48,10.77,7.79,11.25,0.381,4.91,13.89,66,22.76
PI533866,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533869,SC,2013,1,68,144,1396,20.8,31.5,5.71,20.5,4123,2.53,50.67,51.7,1684,14.26,10.27,10.94,10.59,0.377,4.36,13.3,67.9,19
PI533871,SC,2013,1,67,176,1265,25,35.3,4.33,14,4040,2.62,41.51,50.1,1209,12.84,10.95,7.48,7.37,0.294,3.75,8.96,71.5,16.41
PI533876,SC,2013,1,54,138,891,29.4,30.7,6.59,15.2,4080,2.22,35.52,47.1,1398,13.67,10.98,9.86,9.09,0.329,4.66,11.31,70.6,17.17
PI533877,SC,2013,1,62,73,678,28.5,20,5.32,17.8,4092,2.4,41.43,50.2,1534,14.99,10.9,7.69,10.08,0.348,4.67,12.57,69.7,19.56
PI533878,SC,2013,1,68,112,1384,36.3,50.7,4.92,16.9,4051,1.64,42.69,51.5,1411,14.7,10.68,9.48,10.19,0.334,4.53,12.55,69.3,19.19
PI533882,SC,2013,1,69,92,1600,18.2,32.1,6.36,20.5,4065,1.81,37.36,57.1,1831,16.43,10.73,6.89,10,0.372,4.35,12.36,66.8,23.61
PI533901,SC,2013,1,66,115,1522,25.1,40.2,5.46,12.5,4032,2.72,36,49.7,1220,11.87,10.75,9.92,6.73,0.291,3.52,8.24,72.7,14.88
PI533902,SC,2013,1,71,129,1577,18.2,32,5.24,17.5,4129,3.16,38.87,47.6,1537,13.63,10.87,9.37,9.09,0.345,4.51,11.37,68.9,18.54
PI533903,SC,2013,1,68,151,2337,18,43.6,6.76,19.7,4107,2.78,42.66,49.2,1490,14.21,10.78,10.65,8.7,0.333,4.45,10.38,66.3,19.17
PI533910,SC,2013,1,64,128,903,24.2,25.8,7.11,15.6,4148,3.23,46.73,49.5,1600,15.77,10.75,8.81,10.49,0.365,5,12.68,65.4,21.54
PI533911,SC,2013,1,64,103,1080,23.1,25.1,7.69,17.4,4138,2.8,55.21,52,1691,15.32,10.41,9.26,11.26,0.381,5.03,13.73,64.6,22.14
PI533912,SC,2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533913,SC,2013,1,57,112,1883,19.3,36.6,7.98,16.3,4194,3.82,54.94,51.5,1640,14.81,10.1,12.1,9.89,0.373,4.47,12.17,64.2,20.84
PI533915,SC,2013,1,66,171,2077,17.6,38.6,4.38,16.5,4108,2.63,36.49,44.7,1550,14.05,10.93,8.36,9.79,0.362,5.17,12.51,71.1,17.94
PI533919,SC,2013,1,71,118,1767,16.3,28.9,7.82,15.6,4230,3.5,54.49,43.8,1734,15.33,10.21,12.65,11.09,0.387,5.32,13.8,63.5,20
PI533921,SC,2013,1,64,73,800,38.8,31.5,6.03,15.7,4125,2.23,52.52,51.9,1648,15.87,10.17,10.97,11.41,0.37,4.89,14.04,65.4,21.36
PI533924,SC,2013,1,73,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533927,SC,2013,1,69,159,757,12.6,10.4,9.28,18.8,4175,2.29,58.81,46.1,1641,15.37,11,11.27,11.27,0.38,5.58,13.63,63.8,21.19
PI533936,SC,2013,1,69,116,1462,20.8,33.9,6.18,14.7,4129,3.36,45.03,49.8,1518,14.32,10.87,7.83,9.23,0.352,4.67,11.18,67,20.42
PI533937,SC,2013,1,64,120,876,22.5,24.1,5.29,16,4083,2.8,36.21,46.9,1470,13.76,11.11,7.49,9,0.344,4.81,11.37,70.4,18.56
PI533938,SC,2013,1,61,215,580,7.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533939,SC,2013,1,68,194,1651,14.2,25,6.83,15.9,4106,2.27,49.64,51,1553,15.32,10.96,8.87,10.18,0.355,4.93,12.44,67.3,21.12
PI533940,SC,2013,1,61,128,597,18.8,13.4,4.77,17.4,4126,3.1,39.64,48.9,1557,14.66,10.82,7.85,9.89,0.351,4.83,12.18,69.4,19.93
PI533943,SC,2013,1,69,112,1791,17.7,31.3,4.98,15.7,4131,3.07,41.78,49.5,1616,15.4,11,6.83,10.76,0.368,5.21,13.34,69.6,22.09
PI533948,SC,2013,1,64,100,1058,24.3,27.5,6.12,16.8,4137,2.77,40.05,49.2,1723,14.72,10.7,9.28,10.41,0.371,4.84,12.68,65.9,19.52
PI533949,SC,2013,1,64,118,1651,26.5,45.6,5.24,18.1,4119,2.93,34.83,43.9,1588,13.73,10.97,8.92,9.36,0.368,5.25,11.95,68.8,17.26
