Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI533838,SC,2013,2,61,103,1057,29.8,31.9,6.96,13.6,4030,2.4,35.89,55.1,1339,13.97,11.08,7.37,7.61,0.318,3.92,9.5,69.3,20.08
PI533839,SC,2013,2,NA,123,430,11.8,6.6,5,13.4,4103,2.68,56.09,50.8,1570,16.41,10.82,6.46,11.07,0.37,5.33,13.72,69.2,22.69
PI533841,SC,2013,2,68,99,913,14.9,15.1,5.51,6.5,4061,2.29,56.6,55.5,1774,19.6,10.85,8.57,9.43,0.406,4.56,11.92,63.6,28.91
PI533842,SC,2013,2,83,213,1085,13.9,18,4.66,15.7,4047,2.02,37.1,46.8,1302,13.47,10.9,9.51,8.88,0.32,4.61,11.08,70.3,17.18
PI533843,SC,2013,2,68,156,1350,20.6,30.4,5.4,15.2,4138,3.23,40.91,46.6,1542,14.38,10.84,8.02,9.83,0.367,5.03,12.22,68.4,19.5
PI533845,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533852,SC,2013,2,74,98,1527,17.8,29.2,5.6,15.4,4176,3.3,49.49,49.4,1756,15.79,10.59,9.34,11.43,0.391,5.16,14.18,66,21.8
PI533855,SC,2013,2,68,174,811,17.9,15.6,6.48,20.2,4183,3.25,50.62,49.1,1808,15.69,10.14,9.56,11.33,0.399,4.92,13.99,66.6,20.73
PI533856,SC,2013,2,79,99,2183,14.7,31.4,4.62,17.7,4044,2.02,33.38,46.8,1280,12.72,10.77,10.13,8.24,0.31,4.13,10.27,72.1,15.64
PI533863,SC,2013,2,64,169,735,27,20.4,7,14,4187,2.75,60.72,51.1,1849,16.98,10.63,7.67,12.9,0.42,5.82,16.03,63.7,25.87
PI533866,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533869,SC,2013,2,NA,128,1018,21,21.1,5.26,19.8,4114,2.84,48.19,49.4,1663,14.39,10.49,9.46,10.09,0.375,4.59,12.64,68,19.65
PI533871,SC,2013,2,NA,135,1315,25.7,34.8,4.9,16.3,4100,2.98,35.02,47.6,1367,12.92,10.9,9.01,8.36,0.326,4.28,10.37,69.3,16.73
PI533876,SC,2013,2,53,122,829,30.7,26.5,6.84,17.8,4095,2.34,40.41,46.6,1519,13.88,11.19,9.32,9.24,0.354,4.98,11.34,67.9,17.69
PI533877,SC,2013,2,64,74,908,28.8,28.5,6.16,18.2,4084,2.36,48.48,52.2,1499,13.69,10.51,10.29,9.83,0.341,4.17,11.92,66.2,18.12
PI533878,SC,2013,2,68,119,1703,34.6,60.3,5.37,18.3,4082,1.79,46.8,50.8,1618,14.46,11.04,7.03,10.59,0.38,4.83,13.34,68.4,20.52
PI533882,SC,2013,2,NA,105,1454,24.3,36.4,5.06,16,4077,2.16,33.86,51.3,1404,13.51,10.6,9.58,9.13,0.32,3.99,11.22,70.9,16.56
PI533901,SC,2013,2,68,121,2020,24.3,50.3,6.33,11.6,4062,2.73,36.71,50.1,1230,13.4,10.86,9.39,7.75,0.307,3.94,9.43,69.6,16.6
PI533902,SC,2013,2,70,127,1278,18.1,22.2,4.39,16.1,4161,3.61,36.52,46.5,1578,13.29,10.65,9.51,9.14,0.347,4.56,11.51,71,17
PI533903,SC,2013,2,72,124,1121,17.3,20.2,7.02,15.6,4126,2.88,49.64,51.2,1487,14.84,10.75,9.87,9.89,0.345,4.62,11.85,66.7,21.04
PI533910,SC,2013,2,NA,126,707,27.5,21,7.61,17.6,4167,3.01,54.48,49.4,1639,14.34,10.16,12.25,10.35,0.364,4.46,12.41,64.4,19.09
PI533911,SC,2013,2,NA,116,398,29.9,12.2,7.25,20.3,4180,3.3,55.08,45.4,1797,15.87,10.58,9.87,10.97,0.412,5.39,13.5,63.7,21.2
PI533912,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533913,SC,2013,2,NA,144,816,22.3,18.4,7.38,19.6,4206,4.34,49.88,47,1600,13.38,10.04,12.65,8.63,0.348,3.91,10.64,66.7,17
PI533915,SC,2013,2,68,133,1591,18.8,31.5,6.1,18.1,4142,2.93,48.41,51.2,1663,15.96,10.87,6.88,11.06,0.383,4.97,13.68,67.3,22.05
PI533919,SC,2013,2,72,115,2541,20.6,55.7,8.27,17.9,4204,2.88,56.41,46.3,1675,15.75,10.7,11.56,11.6,0.379,5.57,14.12,64.6,20.78
PI533921,SC,2013,2,68,71,972,35.6,35,4.2,14.9,4022,2.11,32.23,49.6,1359,13.33,11.12,8.21,7.91,0.322,4.16,9.85,69.9,16.5
PI533924,SC,2013,2,70,101,1022,11.9,14.9,7.25,17.5,4201,3.4,52.84,46.1,1732,15.6,10.6,10.41,11.05,0.389,5.28,13.63,64.9,21.77
PI533927,SC,2013,2,68,184,1522,13.4,20.3,9.35,20,4179,2.44,61.44,46.7,1623,15.4,10.75,11.78,11.25,0.384,5.34,13.63,62.7,20.64
PI533936,SC,2013,2,68,104,311,10.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533937,SC,2013,2,63,107,1703,28.5,47.7,5.12,14.4,4074,2.56,49.99,49.8,1355,13.46,10.64,9.15,8.94,0.335,4.11,11.28,69.2,16.8
PI533938,SC,2013,2,65,203,1078,33,35.5,7.18,13.9,4074,1.99,39.69,48.3,1298,13.17,10.89,11.02,8.77,0.312,4.47,10.7,69.7,16.68
PI533939,SC,2013,2,65,215,1827,19.2,35.3,6.24,13,4109,3.14,44.27,48.2,1460,13.34,10.62,10.14,8.11,0.335,4.13,9.97,67.7,17.22
PI533940,SC,2013,2,64,146,794,19.5,16.5,5.08,17.6,4132,3.1,41.5,48.2,1584,14.26,10.61,9.08,10.01,0.358,4.74,12.39,67.5,19.49
PI533943,SC,2013,2,72,103,1377,15.4,22.1,6.09,16.7,4136,2.5,49.22,52.8,1736,15.91,10.78,8.6,11.58,0.386,4.97,14.28,67.2,22.53
PI533948,SC,2013,2,NA,112,757,22.2,18.7,5.44,17.7,4127,3.01,40.99,48.8,1583,15.03,10.89,7.56,10.35,0.356,4.94,12.56,68.2,21
PI533949,SC,2013,2,63,133,1531,25.7,41.6,5.65,17.9,4067,2.76,36.85,53.5,1334,12.86,10.6,9.06,8.03,0.311,3.78,9.74,69.5,17.4
PI533954,SC,2013,2,63,104,962,17,18.9,5.21,17.3,4160,3.03,39.86,43.2,1664,14.71,11.28,7.57,10.59,0.381,5.84,13.37,68.9,19.09
PI533955,SC,2013,2,NA,93,1475,19.4,27.6,6.59,17.4,4128,2.67,47.38,44.8,1352,13.12,10.48,12.98,9.11,0.325,4.58,11.42,68.1,16.24
PI533956,SC,2013,2,NA,134,1108,15.9,19.3,5.47,20.3,4173,3.81,40.51,44.7,1580,13.13,10.69,11.27,8.71,0.34,4.65,10.44,68.6,17.25
PI533957,SC,2013,2,63,116,1336,18.3,26.3,7.44,13.4,4091,2.34,44.63,47.7,1335,13.82,11.03,10.31,9.05,0.332,4.65,11.06,67.8,18.33
PI533961,SC,2013,2,63,94,2511,19.3,48.8,6.44,17.6,4060,2.04,36.67,48.9,1268,12.89,10.98,10.03,8.2,0.302,4.09,9.86,70,16.24
PI533962,SC,2013,2,72,137,1453,22.1,34.7,5.96,15.9,4048,1.83,35.74,44.2,1311,12.38,10.9,11.96,8.65,0.329,4.91,11.03,69.8,14.86
PI533964,SC,2013,2,70,127,1315,29.9,40.6,4.44,13.5,4087,3.02,32.22,45.6,1377,12.94,11.01,8.29,7.87,0.326,4.4,9.87,71.3,16.73
PI533965,SC,2013,2,70,116,1013,22.3,23.4,6.7,13.5,4106,2.64,45.7,45.6,1452,14.49,10.91,9.84,9.51,0.358,4.88,11.89,66.5,19.22
PI533967,SC,2013,2,70,119,766,21.8,20.1,5.49,17,4128,2.9,58.23,50.4,1674,14.85,10.74,7.75,10.61,0.379,5.03,12.96,66.5,21.06
PI533970,SC,2013,2,66,100,1850,20.7,39.5,8.46,18,4184,3.37,58.79,48.6,1685,13.96,10.68,11.73,9.66,0.371,4.74,11.86,64.6,19.68
PI533972,SC,2013,2,74,108,1898,21.8,43.8,7.25,17.6,4085,1.87,32.99,47.8,1344,11.94,10.61,12.9,8.45,0.315,3.8,10.5,68.1,13.62
PI533976,SC,2013,2,NA,109,1380,23.7,35.6,5.57,16.1,4184,3.82,44.3,44.2,1626,13.58,10.72,10.12,8.96,0.364,4.84,11.09,66.4,17.53
PI533979,SC,2013,2,63,156,744,18.4,20.2,6.22,15.7,4157,3.26,43.85,50.5,1626,15.62,10.57,8.15,10.79,0.369,4.82,13.41,69.2,21.46
PI533980,SC,2013,2,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI533985,SC,2013,2,NA,104,608,19.2,13.1,5.9,17.7,4066,2.41,37.65,52.8,1398,13.62,10.94,8.57,8.39,0.314,4.04,10.08,69.9,19.11
PI533986,SC,2013,2,NA,109,1219,27.7,31.9,6.48,16.7,4095,2.49,35.14,47.5,1388,12.57,10.85,10.37,8.33,0.322,4.27,10.3,69.4,15.02
PI533987,SC,2013,2,68,121,1691,36.5,62.2,4.97,13.3,4009,1.89,28.23,44.7,1232,10.94,10.92,11.54,6.86,0.303,4.04,8.75,71.9,12.33
PI533989,SC,2013,2,72,118,2685,20.7,55,5.63,15.3,4078,2.61,43.49,50.5,1533,15.94,10.83,8.11,10.13,0.36,4.81,12.41,66.3,21.58
PI533991,SC,2013,2,NA,132,1307,17.2,23.4,5.75,18.3,4171,2.84,57.81,49.3,1711,16.14,10.53,9.84,12.02,0.39,5.12,14.71,65.7,21.75
PI533996,SC,2013,2,61,95,1189,26.2,31.2,6.15,18.5,4125,2.94,42.16,49,1629,15.58,11.03,6.79,10.47,0.376,5.09,12.76,67.3,21.21
PI533997,SC,2013,2,60,150,1130,21.3,27,5.14,14.3,4065,2.57,38.25,52.1,1353,13.12,10.94,7.37,8.49,0.316,4.13,10.44,71.4,18.89
PI534009,SC,2013,2,77,117,1255,19,25.3,5.6,16.3,4101,2.05,37.53,46.7,1441,13.57,11.13,9.48,9.89,0.334,4.97,12.06,70,17.25
PI534021,SC,2013,2,NA,72,NA,NA,NA,5.27,15.7,3968,0.94,28.13,51.5,1277,13.14,11.21,8.22,8.4,0.308,4.09,10.65,72.3,16.67
PI534028,SC,2013,2,77,110,1925,18.8,35.9,5.05,14.4,4174,3.49,39.1,46.1,1612,14.08,10.69,9.43,9.84,0.367,4.87,12.51,69.1,18.27
PI534037,SC,2013,2,68,151,882,18.9,18,6.47,19.4,4098,2.8,40.44,49.8,1461,14.74,11.04,7.63,9.57,0.342,4.76,11.51,68.8,19.82
PI534046,SC,2013,2,63,91,1239,15.2,19.5,6.43,17.5,4135,2.86,41.25,43.8,1599,13.34,10.79,11.82,9.25,0.364,5.13,11.33,67.1,16.73
PI534047,SC,2013,2,60,138,931,36.8,35.6,6.23,15.2,4146,3.15,47.89,46.3,1515,14.41,10.68,10.34,9.68,0.361,4.92,12.07,65.2,19.43
PI534053,SC,2013,2,70,87,1682,20.3,33.1,4.43,12.5,4074,2.91,30.21,48.3,1445,12.71,11.18,7.04,8.07,0.328,4.25,9.97,72,16.63
PI534054,SC,2013,2,68,93,1985,12.8,25.3,6.37,16.2,4142,2.45,51.58,50.6,1827,16.27,10.6,9.6,12.09,0.403,5.34,14.99,64.4,22.45
PI534063,SC,2013,2,65,134,80,25.1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534070,SC,2013,2,63,128,767,28.9,22.8,6.07,16.8,4147,2.44,61.65,52.3,1658,15.31,9.94,12.6,11.65,0.374,4.72,14.22,64.5,21.56
PI534075,SC,2013,2,63,141,803,27.6,25.9,5.79,15.9,4130,2.97,51.14,53,1660,14.77,10.42,9.71,10.36,0.368,4.72,12.54,63.6,21.77
PI534079,SC,2013,2,60,166,901,24.3,22.9,6.27,16,4052,2.16,40.4,53.1,1351,13.44,11.03,8.61,8.77,0.32,4.15,10.94,70.6,18.24
PI534088,SC,2013,2,54,107,588,36,23.5,5.21,17.7,4097,2.41,46.08,52.7,1557,14.6,10.62,9.57,9.88,0.345,4.5,11.99,67.7,21.2
PI534092,SC,2013,2,NA,103,762,17.1,14.3,5.89,13.6,4087,1.91,47.32,54.5,1738,17.14,10.96,6.97,11.13,0.391,5.12,13.72,66.1,25.18
PI534096,SC,2013,2,63,130,633,16.7,12.3,5.35,11.6,4138,2.84,57.37,51.1,1606,16.53,10.87,6.82,11.64,0.375,5.54,14.21,67.1,23.65
PI534097,SC,2013,2,NA,119,1130,17.3,21.1,5.26,16.3,4162,3.71,39.33,46.8,1606,13.53,10.56,9.1,8.97,0.354,4.46,11.26,69.8,18.26
PI534099,SC,2013,2,66,204,2802,15.5,43.2,5.85,15.6,4020,1.94,24.13,48.6,1178,11.82,10.86,9.71,7.22,0.287,3.65,8.94,72.1,13.31
PI534101,SC,2013,2,68,108,1510,26.2,37.8,5.95,15.8,4088,2.49,32.56,44.8,1432,12.24,11.1,10.36,7.93,0.33,4.58,9.75,70.4,14.94
PI534105,SC,2013,2,68,85,1777,21.2,39.9,5.5,17.6,4039,1.88,35.26,49.5,1237,12.69,11.11,8.69,7.99,0.31,4.04,10.07,71.4,15.49
PI534108,SC,2013,2,66,167,3011,22.7,66.9,6.3,19.9,4130,2.88,46.85,47.8,1488,13.53,10.58,10.79,9.17,0.348,4.39,11.2,66.4,17.36
PI534112,SC,2013,2,70,103,1187,22.4,29.5,6.68,19.1,4089,2.02,34.44,46.6,1411,12.79,11.18,9.72,8.83,0.328,4.6,10.97,69,15.82
PI534114,SC,2013,2,70,127,894,18.6,17.6,7.65,17.4,4144,2.48,50.24,46.8,1615,15.78,11.4,8.32,11.08,0.382,5.78,13.45,65.2,21.53
PI534115,SC,2013,2,68,98,1939,24.9,48,4.67,17.6,4087,2.51,43.51,50.5,1484,13.82,10.62,9.87,9.55,0.344,4.13,11.73,68,17.71
PI534116,SC,2013,2,NA,120,420,15.6,8.4,7.63,15.3,4256,4.05,59.35,45.7,1835,16.71,10.71,9.07,12.03,0.411,5.77,14.8,63.3,23.97
PI534117,SC,2013,2,NA,100,1834,18.8,35.1,6.35,16.5,4169,3.27,42.22,42.4,1552,13.37,10.85,12.04,9.48,0.362,5.31,11.94,67.1,17.05
PI534123,SC,2013,2,77,135,331,11.2,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534124,SC,2013,2,74,171,1730,15.9,27.1,6.83,18.9,4153,3.79,45.18,44.4,1471,13.65,10.63,11.2,8.33,0.338,4.54,10.12,66.9,17.87
PI534127,SC,2013,2,68,153,750,25.3,19.9,7.05,20.1,4189,2.98,49.92,43.1,1721,15.09,11.09,9.65,11.23,0.397,6,13.87,65.5,19.97
PI534128,SC,2013,2,NA,108,2032,18.5,41.4,5.88,12.1,4103,2.73,44.56,52.4,1539,14.89,10.71,8.66,10.19,0.365,4.56,12.75,67.1,20.03
PI534132,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534133,SC,2013,2,74,110,532,23.9,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534135,SC,2013,2,83,91,907,20.1,21,6.45,12.8,4085,1.78,42.79,51.4,1512,14.54,10.73,10.99,10.18,0.335,4.56,12.36,65.8,18.84
PI534137,SC,2013,2,66,135,1515,17.7,31,5.73,13.9,4105,2.69,54.78,53.3,1579,16,10.75,7.02,11.17,0.369,5.14,13.68,65.9,22.85
PI534138,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534139,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI534144,SC,2013,2,68,153,1303,18.2,25.3,8.01,14,4187,3.46,53.03,47.1,1637,15.2,10.68,10.8,9.93,0.384,5.17,12.23,63.5,20.27
PI534145,SC,2013,2,56,NA,599,25.3,16,5.8,17.6,4093,1.98,45.98,53.8,1723,16.51,10.85,7.45,11.21,0.392,5.17,13.78,65.3,23.03
PI534148,SC,2013,2,70,125,891,31.2,27.7,6.77,18.4,4148,2.44,47.02,53.1,1701,14.23,10.37,10.28,10.91,0.369,4.47,13.4,66.3,20.13
PI534155,SC,2013,2,NA,108,1379,20.1,27.8,7.66,19,4145,2.44,50.01,43,1599,13.53,11.35,11.24,9.82,0.357,5.58,11.72,67.8,17.69
PI534157,SC,2013,2,72,109,1184,33.3,40,4.78,17,4163,3.22,43.58,45.3,1602,15.08,10.96,8.64,10.6,0.369,5.47,12.97,67.7,19.89
PI534163,SC,2013,2,72,116,948,18.5,21.1,7.27,16.4,4131,3.3,47.38,47.7,1556,15.54,10.88,8.91,9.72,0.371,5.07,11.8,65.4,20.88
PI534167,SC,2013,2,NA,121,663,21.6,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI540816,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI542406,SC,2013,2,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI542718,SC,2013,2,65,162,1721,32.2,57.5,7.37,13.8,4178,3.93,47.82,49,1528,14.46,10.46,10.37,9.68,0.362,4.56,11.65,64.5,19.51
PI548797,SC,2013,2,70,187,1720,18,33.3,4.96,16.9,4077,2.34,35.37,50.8,1406,13.37,10.73,9.52,9.22,0.326,4.18,11.35,69.6,17.18
PI552856,SC,2013,2,NA,137,287,16.9,7.6,5.44,14.2,4207,3.03,68.93,49.2,1954,18.11,10.5,7.07,13.55,0.449,6.23,17.02,64.6,25.19
PI552861,SC,2013,2,75,144,1685,29.7,48.9,5.09,13.5,4058,2.45,30.73,48.9,1364,12.91,11,8.44,8.72,0.326,4.32,10.95,71,16.85
PI561071,SC,2013,2,72,133,3339,16.4,48.7,4.21,15,4037,2.46,31.65,49.6,1286,13.29,11.1,7.76,8.21,0.306,4.17,9.99,72.3,17.51
PI561072,SC,2013,2,70,126,2120,20.6,45.1,4.76,7.6,4098,3.08,52.76,49.9,1442,14.84,10.69,8.27,9.04,0.343,4.62,11.52,68.2,19.38
PI561073,SC,2013,2,74,142,2741,19.8,55.7,5.01,13.6,4052,2.37,40.11,50.2,1354,14.24,10.71,8.94,9.01,0.332,4.14,11.08,68.2,18.2
PI561472,SC,2013,2,NA,200,1598,23.2,39,4.53,17.6,4047,2.09,36.9,45.7,1311,11.21,10.25,13.59,7.65,0.301,3.69,9.26,70.5,12.06
PI562730,SC,2013,2,PS,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI564163,SC,2013,2,68,145,1293,18.1,26.7,4.29,16.2,4078,2.91,33.41,48.4,1493,13.02,10.79,8.52,8.34,0.34,4.22,10.5,70.5,17.14
PI564164,SC,2013,2,70,123,1226,29,34.7,5.17,13.8,4070,2.25,39.4,49.6,1418,15.18,11.3,6.79,9.96,0.343,4.99,12.28,69.4,20.53
PI564165,SC,2013,2,NA,120,1679,26.2,47.2,4.83,13.6,4071,2.35,35.12,48.8,1373,13.63,10.98,8.59,9.36,0.333,4.61,11.7,69.6,17.57
PI565121,SC,2013,2,72,170,578,22.7,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI566819,SC,2013,2,81,315,2110,16.5,35.9,7.6,18,4158,3.08,53.12,43.7,1573,14.43,10.59,12.06,9.65,0.365,4.93,11.82,65.6,18.92
PI574455,SC,2013,2,NA,102,2203,20,46.2,5.35,18.3,4090,2.62,42.54,47.6,1399,13.49,10.75,9.62,8.91,0.323,4.21,10.8,69.3,18.27
PI576130,SC,2013,2,NA,259,2246,18.8,43.5,3.96,12.1,3975,1.97,21.52,46.7,1115,9.87,10.9,10.17,5.52,0.268,3.19,6.95,75.7,10.58
PI576332,SC,2013,2,58,111,1181,14.8,18.8,6.75,21,4159,2.59,44.22,41.7,1645,14.3,11.23,10.04,10.79,0.382,6.04,13.44,68.1,18.51
PI576333,SC,2013,2,NA,125,1400,18,26.7,4.49,14.9,4101,3.23,31.75,47.9,1416,12.96,10.69,9.1,8.03,0.322,4.19,9.95,71.4,16.99
PI576337,SC,2013,2,NA,142,362,17,7.6,7.87,16.7,4236,3.72,59.84,48.2,1877,17.23,10.7,9.15,11.86,0.413,5.71,14.35,63.6,25.33
PI576339,SC,2013,2,68,109,1301,29.1,40.3,4.97,19.2,4107,2.82,47.2,51.4,1493,13.62,10.13,10.83,9.25,0.341,3.83,11.61,69.6,16.84
PI576340,SC,2013,2,NA,189,1301,23.3,29.2,4.74,11.9,4028,2.43,28.47,49.2,1195,12.26,11.05,8.38,7.35,0.287,3.87,9.09,73.8,15.69
PI576345,SC,2013,2,NA,150,1371,21.9,32.5,5.9,18.6,4097,2.81,36.46,47,1415,13.12,10.82,10.02,8.38,0.328,4.21,10.43,69.8,17.1
PI576347,SC,2013,2,68,158,832,16.9,15.5,6.53,18.6,4109,3.08,41.42,49.8,1517,15.57,11.35,5.58,9.63,0.359,4.97,11.61,68.5,22.24
PI576348,SC,2013,2,72,140,303,14.4,5.8,8.66,7.7,4137,2.23,58.72,51.1,1655,16.23,10.65,11.88,11.31,0.381,5.33,13.41,57.5,24.15
PI576349,SC,2013,2,NA,152,441,13.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576350,SC,2013,2,52,160,552,21.8,13.7,6.08,18.2,4198,3.42,48.76,44.3,1648,14.76,10.98,9.62,10.57,0.377,5.49,13.12,67.4,19.75
PI576352,SC,2013,2,NA,89,959,25.4,23.7,5.12,15.3,4099,2.95,43.22,52,1492,13.98,10.57,9.73,9.24,0.34,4.17,11.45,68.4,18.19
PI576359,SC,2013,2,NA,187,953,14.8,15.7,4.88,17.6,4172,3.64,49.08,52.4,1753,14.94,10.36,8.25,10.53,0.383,4.71,12.94,68.3,21.84
PI576364,SC,2013,2,68,121,1199,10.7,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI576366,SC,2013,2,63,88,1514,16.6,26.9,6.64,18.4,4115,2.48,36.83,41.5,1530,12.58,11.16,10.92,8.73,0.348,5.2,10.71,68.8,15.37
PI576373,SC,2013,2,68,104,1373,24.7,33.8,7.43,15.4,4096,2.66,46.11,50.8,1370,13.88,10.31,11.3,9.62,0.332,4.17,12.01,69.4,17.94
PI576375,SC,2013,2,77,148,994,26.4,29.8,5.63,14.2,4071,2.25,35.17,50.4,1461,14.31,11.29,7.1,9.45,0.341,4.73,11.66,69.2,19.11
PI576376,SC,2013,2,NA,97,670,25,18.8,6.64,15.1,4191,2.98,60.65,50.1,1738,14.54,9.83,11.3,11.35,0.398,4.63,14.34,64.5,18.34
PI576380,SC,2013,2,70,128,1870,36.4,70.3,4.71,20.3,4083,2.22,51.96,48.7,1476,12.09,10.58,9.95,9.2,0.347,3.99,11.51,70.1,15.35
PI576381,SC,2013,2,70,82,942,24.7,25.6,6.14,15.8,4093,2.43,46.72,52.3,1456,15.22,10.95,9.06,10.08,0.334,4.61,12.08,68.5,20.8
PI576385,SC,2013,2,63,113,853,31.1,27.9,5.02,17.5,4177,3.05,42.26,44.2,1723,14.4,10.77,9.76,10.92,0.387,5.73,13.78,67.3,18.19
PI576386,SC,2013,2,NA,101,1463,27.6,42.4,6.09,15.4,4085,2.6,38.04,47.1,1384,12.59,10.93,10.13,7.82,0.318,4.2,9.51,68.3,15.85
PI576387,SC,2013,2,68,114,1363,21.1,31.2,5.47,17.3,4101,2.66,37.14,48.9,1394,13.28,10.61,10.12,9.25,0.33,4.32,11.47,68.9,17.2
PI576390,SC,2013,2,68,160,1209,27.3,33.9,6.61,17.3,4122,2.61,51.84,48.3,1528,13.39,10.72,9.26,10.07,0.369,4.69,12.34,66.3,19.05
PI576391,SC,2013,2,74,170,2450,13.8,34.2,7.33,19.7,4163,2.3,53.82,47.1,1601,15.04,10.95,10.49,11.33,0.37,5.32,13.91,67.8,20.11
PI576393,SC,2013,2,68,79,781,20.2,17.7,6.99,17,4123,2.74,47.36,46.9,1442,14.26,10.87,10.52,9.53,0.337,4.95,11.36,67.4,19.01
PI576394,SC,2013,2,66,178,1800,18.9,35.2,4.9,16.4,4110,3.28,33.52,49.8,1399,13.37,10.84,7.67,8.48,0.322,4.02,10.48,70,18.03
PI576396,SC,2013,2,NA,108,1327,28.8,40.2,6,17.6,4103,2.7,44.4,48.6,1478,12.21,10.45,11.24,8.82,0.348,3.99,10.97,66.9,16.21
PI576399,SC,2013,2,65,197,1379,18,25.6,7,17,4132,3.08,40.76,50.4,1543,14.14,10.78,9.48,9.08,0.354,4.52,11.05,67.2,18.7
PI576401,SC,2013,2,NA,125,1559,26.9,45.5,5.76,17.3,4157,2.83,61.02,50.5,1695,13.94,9.87,11.41,10.74,0.382,4.3,13.46,66.4,18.12
PI576418,SC,2013,2,NA,107,926,29.7,29.8,4.47,16,4047,2.11,50.42,51,1245,12.86,10.3,10.63,8.6,0.304,3.73,10.63,71.1,16.29
PI576422,SC,2013,2,NA,114,1826,21.5,42.4,5.18,18.7,4102,2.78,41.87,49.9,1471,13.41,10.35,11.28,9.18,0.336,3.92,11.28,68.4,16.68
PI576425,SC,2013,2,68,121,1183,28.5,35.8,8.21,16.9,4162,2.71,57.02,48.4,1626,15.38,10.64,11.46,11.18,0.376,5.17,13.54,63.3,21.29
PI576426,SC,2013,2,NA,120,1802,22.7,41.8,4.94,14.3,4060,2.25,26.15,48.6,1373,13.03,11.11,8.21,8.24,0.316,4.18,10.23,71.7,15.66
PI576428,SC,2013,2,70,127,1249,32.8,41.7,5.2,17.9,4065,1.88,35.47,46.7,1293,12.33,11.03,10.95,8.63,0.301,4.36,10.46,71.1,15.19
PI576434,SC,2013,2,77,246,1129,28.4,33.1,4.56,14.5,4045,2.18,30.59,46.6,1336,12.55,11.2,8.36,8.21,0.322,4.37,10.33,71.5,15.41
PI576435,SC,2013,2,NA,135,897,19.2,21.7,5.48,18.9,4139,3.33,45.69,52.8,1612,14.56,10.57,8.35,9.89,0.362,4.5,12.07,67.1,20.94
PI576437,SC,2013,2,68,199,1935,15.8,32.7,8.48,15.7,4143,2.69,56.62,49.8,1631,15.29,10.47,10.15,11.08,0.397,5.18,13.61,61.2,21.77
PI585291,SC,2013,2,70,119,1014,20.6,19.7,4.9,13.7,4084,2.51,40.97,49.4,1457,14.14,10.96,7.85,9.42,0.344,4.43,11.66,69.5,18.74
PI585295,SC,2013,2,NA,106,1218,23.2,28.2,5.5,3.3,4117,2.73,39.58,52.8,1622,16.26,10.69,6.57,9.91,0.387,4.74,12.89,67.3,22.91
PI595699,SC,2013,2,70,115,671,21.2,14,5.49,16.7,4129,3.07,34.78,45.1,1655,14.74,10.88,7.63,9.57,0.378,5.16,12.23,67.4,18.47
PI595702,SC,2013,2,63,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
