"Taxa","Amylose2013","Protein2013","Starch2013","Fat2013","Gross_Energy2013","Amylose2014","Protein2014","Starch2014","Fat2014","Gross_Energy2014","Amylose2017","Protein2017","Starch2017","Fat2017","Gross_Energy2017"
"PI152651",-0.0193329502379298,-0.0158911872343525,0.185134065408357,0.00290569403381205,4.94415149698468,-0.0200533273836313,-0.069491733364629,-0.0235685818531843,-0.00774225348075547,-7.6448496238418,0.143677558556838,0.148861446501876,0.535556471847137,0.0305117879065995,37.8665553457038
"PI17548",-0.0592278438751594,-0.0714659515071727,-0.39637474506505,-0.000665861251450286,-21.4999937023788,-0.04278519020079,-0.0795945562110937,-0.372303434948823,-0.00518871040205292,-19.8112804687579,-0.0174610460607449,-0.0410503085324143,-0.37447209724922,-0.00469179987244389,-17.3341452265513
"PI24969",0.0473082762394521,0.0306656757246578,0.546780954845841,0.00165733372089185,24.2788166295493,0.0275687340942762,0.060478381293729,0.535557007286409,0.0139490174522874,26.5280834402165,0.00173211112733932,0.0301543044451347,0.279260520716424,0.00838810772555302,12.9306613538142
"PI329435",-0.163650177268908,-0.0892394209890983,-0.722536331511645,-0.0274466968067329,-41.8115566240118,-0.0628412381856284,-0.0203974904765882,-0.257828370361195,-0.00507824949801191,-12.3772816755369,-0.095292467979641,-0.0872572383301731,-0.554408699593724,-0.0165919767676445,-33.498214000974
"PI329440",-0.072748964591894,-0.0731347096803396,-0.36467095747007,-0.013432501771934,-23.2252867021069,-0.0664473701919099,-0.0786602458080042,-0.357527625593753,-0.0131045735526749,-22.4286967118132,-0.0218530738053923,-0.017890508511107,-0.183225762816178,-0.0048688290639968,-10.7272259663265
"PI34911",0.0557947489609315,-0.0123818538092998,0.378004154827951,-0.00529960154077795,14.1725381822002,0.0218440233885908,-0.0152926147619971,0.151418070838159,-0.00228090987360578,4.17582058855011,-0.0735668179077654,-0.0333729218671926,-0.0668896856811539,-0.0172421299871977,-7.86914509631951
"PI35038",-0.100147136719117,-0.0731920032846075,-0.495517365475038,-0.00415928300942929,-25.8775098922178,-0.0190295014065436,-0.0138064827549817,-0.168498602884498,0.0176005479368253,-3.3673771067226,-0.031323853505536,-0.0859194381303614,-0.352189411941752,-0.0152799162363877,-21.1226538116624
"PI48770",-0.00352797624922458,0.107058483597108,0.374781757396899,0.0100915749754787,25.2564351342339,0.0153776034009643,0.0522133277279378,0.137890412694342,0.00628658231584122,9.0996769973765,0.0343963059136716,0.116393526608915,0.721454571215884,0.0329232233139681,43.0078858691154
"PI533750",0.00256356510646197,0.0511783886708671,-0.0741472876233747,0.0147645657729745,1.77521250534203,-0.0381848115326955,-0.0250301274996365,-0.186767362735366,0.00107655983913904,-9.99246940425361,0.117667920903322,0.0603046456608046,0.0618977819526179,0.00582707495356056,8.00392098318131
"PI533752",0.171695269835557,0.133245667293291,0.687162244785868,0.0367257115781294,47.6294416898521,0.11443364134137,0.114402640850949,0.368251233672669,0.0214119006013245,27.1810287933802,-0.0231550739342225,0.0183425160890262,0.0953384588831605,-0.0057449886880596,6.27794487211292
