Fat14SC,Fat14TX,GE14SC,GE14TX,Prt14SC,Prt14TX,Sta14SC,Sta14TX,Ams15SC,Ams15TX,Fat15SC,Fat15TX,GE15SC,GE15TX,Prt15SC,Prt15TX,Sta15SC,Sta15TX
1.0,0.7260966875128135,0.6699605802862755,0.42817100943918535,0.24378581027945248,0.2352878811825756,-0.6675588836119224,-0.5518379741223783,-0.3416220360851048,-0.11455495620448905,0.3962785216342529,0.5764918929614975,0.29335873889280545,0.4315221572631298,0.23526299985707258,0.2980797848820094,-0.270650779075921,-0.37620702085321944
0.7260966875128135,1.0,0.5224606514387687,0.6522939215790498,0.19401119879164094,0.20770404030368478,-0.47453993952703716,-0.6494811314218655,-0.3322625882941177,-0.09232001715554305,0.48052521561917755,0.7142048532433001,0.40938706485712345,0.536359135575604,0.2522897386010096,0.2423597988689793,-0.3378595510482724,-0.3895000599974893
0.6699605802862755,0.5224606514387687,1.0,0.5583728036788729,0.49608812551850506,0.3458013025921117,-0.6451415844277888,-0.4871294255503748,-0.07144330673277131,0.05521540436570181,0.2981674743043896,0.39765364166200917,0.41466262712526497,0.44803967419600843,0.3136588389479189,0.39652434127443964,-0.38740466081648484,-0.470346712521712
0.42817100943918535,0.6522939215790498,0.5583728036788729,1.0,0.18751421722839343,0.4843217028712748,-0.2911562615183262,-0.6305492345319095,0.04645817962601923,0.1438775194874231,0.3024161664820377,0.49075591345468356,0.43409677587025236,0.6004292174223209,0.1627384033785723,0.30535615488187606,-0.3240557680471183,-0.5077695678239929
0.24378581027945248,0.19401119879164094,0.49608812551850506,0.18751421722839343,1.0,0.604158770712459,-0.7669275662962445,-0.5219160192616263,-0.17583545105077425,-0.1140172419287604,0.04778494125009268,0.08112398486558932,0.20476972749847955,0.17686406379097255,0.5438747165933039,0.5490595017957333,-0.38570115762024,-0.40633880506122066
0.2352878811825756,0.20770404030368478,0.3458013025921117,0.4843217028712748,0.604158770712459,1.0,-0.5197289776901695,-0.7568012060310433,-0.11190213379507824,-0.036277986730203604,0.00391133123884559,0.09353399636120135,0.23338091879488645,0.2946471634159192,0.5341134847792882,0.6834578015131572,-0.47809094375404576,-0.5801465280524705
-0.6675588836119224,-0.47453993952703716,-0.6451415844277888,-0.2911562615183262,-0.7669275662962445,-0.5197289776901695,1.0,0.6863305685623693,0.32306978952099547,0.15106942546342783,-0.1958116935817483,-0.3646024269870425,-0.23637401047780207,-0.30384412403371364,-0.47062418795053224,-0.48721844176586787,0.43088728848734953,0.4864398155095417
-0.5518379741223783,-0.6494811314218655,-0.4871294255503748,-0.6305492345319095,-0.5219160192616263,-0.7568012060310433,0.6863305685623693,1.0,0.2963000808453888,0.0898680616074462,-0.22280486253177756,-0.41841354076165604,-0.3001383154308612,-0.4119364423608096,-0.45732836133288884,-0.5478926113502526,0.49818921690802065,0.5965137786535744
-0.3416220360851048,-0.3322625882941177,-0.07144330673277131,0.04645817962601923,-0.17583545105077425,-0.11190213379507824,0.32306978952099547,0.2963000808453888,1.0,0.5765266118960722,0.11534703655362528,-0.20801705812422874,0.2363926030558652,0.03321564366486472,-0.36249667817236564,-0.1941821906038694,-0.04035614152742528,0.07512676312547241
-0.11455495620448905,-0.09232001715554305,0.05521540436570181,0.1438775194874231,-0.1140172419287604,-0.036277986730203604,0.15106942546342783,0.0898680616074462,0.5765266118960722,1.0,0.04991337224762124,0.0830382293447966,0.06085480301916672,0.24661004010421336,-0.179371174178844,-0.09608303300285134,0.00023612092820083605,-0.1224261170609903
