30,12345
30,12346
30,12347
30,12348
30,12349
30,12350
30,12351
30,12352
30,12353
30,12354
30,12355
30,12356
30,12357
30,12358
30,12359
30,12360
30,12361
30,12362
30,12363
30,12364
30,12365
30,12366
30,12367
30,12368
30,12369
30,12370
30,12371
30,12372
30,12373
30,12374
60,12345
60,12346
60,12347
60,12348
60,12349
60,12350
60,12351
60,12352
60,12353
60,12354
60,12355
60,12356
60,12357
60,12358
60,12359
60,12360
60,12361
60,12362
60,12363
60,12364
60,12365
60,12366
60,12367
60,12368
60,12369
60,12370
60,12371
60,12372
60,12373
60,12374
120,12345
120,12346
120,12347
120,12348
120,12349
120,12350
120,12351
120,12352
120,12353
120,12354
120,12355
120,12356
120,12357
120,12358
120,12359
120,12360
120,12361
120,12362
120,12363
120,12364
120,12365
120,12366
120,12367
120,12368
120,12369
120,12370
120,12371
120,12372
120,12373
120,12374
