"Taxa","Year","Rep","r1","r2","r3","r4","r5","r6","Amylose","Fat","Cal.g","Starch","Protein"
"PI533957","2013","1",1,0,0,0,0,0,12.7,2.23,4083,69.9,10.52
"PI533961","2013","1",1,0,0,0,0,0,18.7,2.61,4085,68.8,10.43
"PI533962","2013","1",1,0,0,0,0,0,17.3,2.23,4078,68.7,11.76
"PI533964","2013","1",1,0,0,0,0,0,15.4,3.23,4147,67.1,13
"PI533965","2013","1",1,0,0,0,0,0,17.7,2.59,4129,65.3,13.12
"PI533967","2013","1",1,0,0,0,0,0,15.8,2.99,4116,69.3,11.76
"PI533970","2013","1",1,0,0,0,0,0,14.3,2.23,4081,70,10.61
"PI533972","2013","1",1,0,0,0,0,0,16.6,2.2,4066,69.8,9.99
"PI533976","2013","1",1,0,0,0,0,0,14.2,3.89,4191,68.2,11.16
"PI533979","2013","1",1,0,0,0,0,0,16.2,2.78,4161,65.2,14.77
"PI533980","2013","1",1,0,0,0,0,0,14.5,2.83,4159,67.4,13.43
"PI533985","2013","1",1,0,0,0,0,0,17.9,3.31,4139,69.7,10.65
"PI533986","2013","1",1,0,0,0,0,0,17.6,3.16,4173,65.4,13.63
"PI533987","2013","1",1,0,0,0,0,0,19.6,1.75,4043,69.1,10.7
"PI533989","2013","1",1,0,0,0,0,0,15.9,2.17,4032,65.5,10.13
"PI533991","2013","1",1,0,0,0,0,0,15.9,2.56,4146,66.7,15.04
"PI533996","2013","1",1,0,0,0,0,0,15.3,2.91,4142,69.7,12.5
"PI533997","2013","1",1,0,0,0,0,0,17.6,2.48,4105,71.3,11.95
"PI534009","2013","1",1,0,0,0,0,0,17.1,2.36,4096,70.1,11.52
"PI534021","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534028","2013","1",1,0,0,0,0,0,15.8,3.57,4163,68.8,12.43
"PI534037","2013","1",1,0,0,0,0,0,19.3,2.99,4103,69.3,10.46
"PI534046","2013","1",1,0,0,0,0,0,21.1,2.67,4152,67.4,12.37
"PI534053","2013","1",1,0,0,0,0,0,13.6,2.62,4066,71.3,10.24
"PI534054","2013","1",1,0,0,0,0,0,10.2,2.57,4119,68,12.52
"PI534063","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534070","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534075","2013","1",1,0,0,0,0,0,12.8,2.46,4065,66.3,11.36
"PI534079","2013","1",1,0,0,0,0,0,16.9,1.95,4038,70.9,10.71
"PI534088","2013","1",1,0,0,0,0,0,18.3,2.63,4129,67.2,12.08
"PI534092","2013","1",1,0,0,0,0,0,15.7,2.05,4101,68.3,13.85
"PI534096","2013","1",1,0,0,0,0,0,14.1,3.08,4184,66.2,15.84
"PI534097","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534099","2013","1",1,0,0,0,0,0,13.3,1.96,4032,71.4,10.45
"PI534101","2013","1",1,0,0,0,0,0,17.1,3.02,4105,69.7,10.57
"PI534105","2013","1",1,0,0,0,0,0,16.8,1.65,4096,66.7,13.44
"PI534108","2013","1",1,0,0,0,0,0,18.4,2.53,4104,66.9,11.82
"PI534112","2013","1",1,0,0,0,0,0,19.7,1.8,4056,69,10.82
"PI534114","2013","1",1,0,0,0,0,0,16.9,2.47,4190,64.3,15.19
"PI534115","2013","1",1,0,0,0,0,0,12.4,2.4,4087,69.6,12.38
"PI534116","2013","1",1,0,0,0,0,0,17.4,3.58,4226,66.2,14.11
"PI534117","2013","1",1,0,0,0,0,0,18,3.46,4176,66.5,11.35
"PI534123","2013","1",1,0,0,0,0,0,17.6,2.87,4179,65,13.8
"PI534124","2013","1",1,0,0,0,0,0,18.9,3.75,4178,66.3,11.83
"PI534127","2013","1",1,0,0,0,0,0,16.6,3.55,4229,63.8,14.69
"PI534128","2013","1",1,0,0,0,0,0,13.4,2.92,4114,67.9,13.24
"PI534132","2013","1",1,0,0,0,0,0,14.7,2.53,4120,66.4,14.4
"PI534133","2013","1",1,0,0,0,0,0,16.1,2.69,4104,67.5,12.5
"PI534135","2013","1",1,0,0,0,0,0,13.1,2.19,4089,69,12.26
"PI534137","2013","1",1,0,0,0,0,0,12.5,2.76,4092,71.2,12
"PI534138","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534139","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534144","2013","1",1,0,0,0,0,0,15.6,3.12,4179,64,12.3
"PI534145","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI534148","2013","1",1,0,0,0,0,0,13,2.66,4142,67,13.71
"PI534155","2013","1",1,0,0,0,0,0,18.9,1.9,4134,66.8,12.5
"PI534157","2013","1",1,0,0,0,0,0,14.2,3.09,4117,70.5,10.7
"PI534163","2013","1",1,0,0,0,0,0,17.4,2.75,4087,66.2,11.44
"PI534167","2013","1",1,0,0,0,0,0,15.3,2.75,4113,69.5,11.84
"PI540816","2013","1",1,0,0,0,0,0,NA,NA,NA,NA,NA
"PI542406","2013","1",1,0,0,0,0,0,18.1,2.26,4130,65.7,12.11
